architect,buildings,f_avg,f_max,min_c,max_c,avg_c,year
A. Epstein and Sons International,11,31,41,1958,1989,1974,15
Adrian Smith + Gordon Gill Architecture,1,113,113,2023,2023,2023,0
Albert H. Belrose,1,39,39,1969,1969,1969,0
Alfred S. Alschuler,1,23,23,1927,1927,1927,0
Alper & Alper Associates,1,20,20,1984,1984,1984,0
Anderson Mikos Architects Ltd,1,22,22,2012,2012,2012,0
Andrew N. Rebori,2,41,41,1930,1930,1930,0
Antunovich Associates,6,22,33,2004,2019,2015,4
Arpen Group,2,37,43,1965,1967,1966,1
B. Leo Steif & Company,1,20,20,1929,1929,1929,0
Barancik Conte & Associates,6,38,56,1969,1991,1982,9
"Barnett, Haynes, Barnett",1,18,18,1908,1908,1908,0
Berkelhamer Architects,2,28,33,2012,2015,2014,1
Bertrand Goldberg & Associates,8,30,61,1962,1986,1968,18
bKL Architecture,13,38,80,2013,2020,2017,3
BKV Group,1,15,15,2018,2018,2018,0
Booth Hansen Associates,5,25,32,2008,2017,2012,5
Brininstool + Lynch,6,26,35,2003,2017,2010,7
Burnham Brothers,4,27,41,1920,1929,1926,3
C.F. Murphy Associates,6,40,61,1965,1973,1969,4
CannonDesign,1,26,26,2014,2014,2014,0
Cesar Pelli & Associates,1,50,50,1990,1990,1990,0
Charles L. Morgan,1,22,22,1929,1929,1929,0
Christian A. Eckstorm,2,22,22,1910,1914,1912,2
Conley and Carlson,1,21,21,1930,1930,1930,0
Cubellis Associates,1,49,49,2013,2013,2013,0
D. H. Burnham & Co.,7,19,22,1904,1915,1910,5
"Daniel P. Coffey & Associates, Ltd.",1,17,17,1905,1905,1905,0
"David C. Hovey, FAIA",1,57,57,2017,2017,2017,0
DeStefano + Partners,14,36,58,1978,2008,2001,7
DeStefano Keating Partners,1,39,39,2005,2005,2005,0
"Dubin, Dubin, Black & Moutoussamy",9,38,61,1968,1990,1973,17
Eckenhoff Saunders Architects,1,16,16,2019,2019,2019,0
Edmund R. Krause,1,20,20,1905,1905,1905,0
FitzGerald Associates Architects,6,28,44,1912,2019,1998,21
Florian Wierzbowski,1,61,61,1990,1990,1990,0
"Fridstein, Fitch & Partners",1,27,27,1968,1968,1968,0
Fujikawa Johnson & Associates,13,39,56,1972,2004,1986,18
Gelick Foran & Associates,1,40,40,1991,1991,1991,0
Gensler,10,31,108,1974,2020,2005,15
George C. Nimmons,1,9,9,1914,1914,1914,0
Giaver & Dinkelberg,1,40,40,1927,1927,1927,0
Goettsch Partners,11,49,76,2005,2022,2015,7
Gordon & Levin,8,43,56,1965,1983,1976,7
"Graham, Anderson, Probst & White",16,30,45,1911,2002,1936,66
Graven & Mayger,1,25,25,1929,1929,1929,0
"GREC Architects, LLC",3,43,67,2010,2018,2014,4
Gruzen Samton Steinglass,1,49,49,1986,1986,1986,0
Gunther W. Malitz,1,33,33,1963,1963,1963,0
Hanbury,1,15,15,2016,2016,2016,0
Handel Architects LLP,1,58,58,2014,2014,2014,0
Harry B. Carter & Associates,1,34,34,1965,1965,1965,0
Harry Weese Associates,9,34,45,1969,1999,1980,19
Hartshorne + Plunkard Architects,16,36,76,1927,2022,1999,23
Hausner & Macsai,3,39,45,1970,1971,1970,1
HDR Architecture Inc.,1,27,27,2016,2016,2016,0
Herbert Hugh Riddle,1,38,38,1928,1928,1928,0
"Hirsch Associates, LLC",2,20,23,2018,2018,2018,0
"Hirschfield, Pawlan & Reinheimer",3,33,40,1967,1969,1968,1
HKS Architects,2,50,68,2000,2000,2000,0
"HOK, Inc.",4,26,37,1987,2013,1999,14
Holabird & Roche,10,25,41,1905,1930,1921,9
Holabird & Root,9,28,44,1912,1994,1942,52
Howard Van Doren Shaw,1,17,17,1906,1906,1906,0
JAHN,1,74,74,2022,2022,2022,0
James Gamble Rogers,1,20,20,1926,1926,1926,0
Jarvis Hunt,1,21,21,1914,1914,1914,0
Jean-Paul Viguier,1,33,33,2002,2002,2002,0
Joel R. Hillman & Associates,3,36,40,1967,1973,1970,3
John Macsai & Associates,1,38,38,1990,1990,1990,0
John Ronan Architects,1,36,36,2018,2018,2018,0
Johnson/Burgee Architects,1,40,40,1987,1987,1987,0
Juan Gabriel Moreno Architects,1,0,,,,0,0
K.M. Vitzthum & Company,1,22,22,1927,1927,1927,0
Keck & Keck,2,25,25,1969,1969,1969,0
Kevin Roche John Dinkeloo & Associates,1,46,46,1989,1989,1989,0
Kohn Pedersen Fox Associates,8,47,66,1983,2002,1991,11
KOO LLC,2,24,26,2009,2017,2013,4
Krueck & Sexton,2,32,53,2007,2019,2013,6
Leichenko & Esser,1,22,22,1929,1929,1929,0
Lester B. Knight Associates,1,16,16,1974,1974,1974,0
Lisec & Biederman,2,37,47,1985,1989,1987,2
Loebl Schlossman Dart & Hackl,6,45,74,1973,1991,1982,9
Loewenberg & Loewenberg,6,34,44,1963,1971,1967,4
Loewenberg Architects,9,43,57,1971,2017,2001,16
Loewenberg-Fitch,5,34,49,1982,1991,1987,4
Lohan Anderson,1,44,44,2009,2009,2009,0
Lohan Associates,2,46,50,1990,2001,1996,5
Lothan Van Hook Destefano Architecture,1,29,29,2018,2018,2018,0
Louis H. Sullivan,1,12,12,1903,1903,1903,0
Lucien Lagrange Architects,11,39,68,1914,2012,1996,16
Ludwig Mies van der Rohe,11,31,52,1949,1974,1960,14
"Mann, Gin, Ebel, & Frazier",4,33,49,1986,2003,1992,11
Mark McKinney,1,26,26,2008,2008,2008,0
Marshall and Fox,5,20,30,1910,1929,1919,10
Meister & Volpe,2,31,35,1971,1974,1973,1
Mid-Continent Construction,1,25,25,1962,1962,1962,0
Milton M. Schwartz,1,21,21,1954,1954,1954,0
Milton Schwartz & Associates,1,36,36,1960,1960,1960,0
Minoru Yamasaki Associates,1,28,28,1972,1972,1972,0
Moceri + Roszak,1,33,33,2017,2017,2017,0
Moriyama & Teshima Architects,1,37,37,1986,1986,1986,0
Morris Adjmi Architects,2,37,43,2017,2021,2019,2
Morris L. Bein,1,21,21,1929,1929,1929,0
Murgatroyd & Ogden,1,25,25,1924,1924,1924,0
Murphy/Jahn Architects,7,35,42,1980,2008,1988,20
N/A,18,28,42,1912,2019,1945,74
Naess & Murphy,2,33,41,1955,1962,1959,3
Nagle Hartray Danker Kagan McKay Penney Architects,1,51,51,1990,1990,1990,0
Nagle Hartray Danker Kagan McKay Penney Architects Ltd.,1,34,34,2001,2001,2001,0
Nimmons & Co.,1,29,29,1926,1926,1926,0
OKW Architects,1,19,19,2015,2015,2015,0
"Optima, Inc.",1,42,42,2014,2014,2014,0
OWP&P Architects,2,48,57,2003,2003,2003,0
Pappageorge Haymes Partners,31,33,62,1906,2018,2006,12
Pei Cobb Freed & Partners,1,48,48,2005,2005,2005,0
Pelli Clarke Pelli Architects,2,65,70,2019,2019,2019,0
Perkins+Will,26,35,61,1969,2019,1991,28
Pickard Chilton,2,56,60,2009,2017,2013,4
PPKS,2,35,36,2000,2004,2002,2
"Rabun Rasche Rector & Reece, Architects",1,23,23,1999,1999,1999,0
Rafael Viñoly Architects,2,76,76,2019,2019,2019,0
Rapp & Rapp,3,24,26,1926,1928,1927,1
